epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.62,1.25866,3.31258,1.54743,0.01257,0.66667,0.30165,0.21446,1.19959,3.37611,1.52921,0.0001125,0.0001125,0.0001125
2,199.296,1.08072,2.74955,1.31514,0.01645,0.85,0.62465,0.38705,1.27767,3.27956,1.49848,0.000235149,0.000235149,0.000235149
3,302.773,1.08763,2.14885,1.2715,0.01621,0.91667,0.70787,0.43918,1.15018,3.20132,1.33392,0.000355322,0.000355322,0.000355322
4,414.622,1.07219,1.44004,1.24185,0.01525,0.89167,0.79776,0.49766,1.21121,3.14024,1.36186,0.000473021,0.000473021,0.000473021
5,510.599,1.07204,1.12041,1.25275,0.01629,0.89167,0.82005,0.51058,1.22109,2.95909,1.41977,0.000588245,0.000588245,0.000588245
6,614.896,1.05291,1.01009,1.23411,0.01638,0.825,0.71209,0.46185,1.29947,2.88057,1.56886,0.000700994,0.000700994,0.000700994
7,717.362,1.05924,0.96061,1.22972,0.5668,0.78333,0.78085,0.47621,1.27929,2.8025,1.53521,0.000811267,0.000811267,0.000811267
8,822.156,1.04355,0.94703,1.27616,1,0.17929,0.77782,0.48083,1.37998,2.70861,1.63177,0.000919066,0.000919066,0.000919066
9,925.552,1.05051,0.95916,1.25564,1,0.3654,0.76176,0.47438,1.39804,2.51345,1.63076,0.00102439,0.00102439,0.00102439
10,1022.13,1.0143,0.87918,1.23447,0.94626,0.56067,0.79235,0.49292,1.41153,2.25601,1.63253,0.00112724,0.00112724,0.00112724
11,1130.26,1.0266,0.90706,1.24775,0.95608,0.48231,0.86184,0.46589,1.55374,2.33112,1.72254,0.00112625,0.00112625,0.00112625
12,1245,0.98148,0.83489,1.25143,0.82042,0.65381,0.75864,0.4493,1.50511,1.83176,1.74247,0.00111388,0.00111388,0.00111388
13,1337.47,1.02659,0.80916,1.25665,0.89266,0.60934,0.85471,0.49778,1.37146,1.93859,1.56192,0.0011015,0.0011015,0.0011015
14,1445.01,0.98627,0.80097,1.22302,0.91434,0.86982,0.91625,0.54348,1.50603,1.47038,1.7393,0.00108913,0.00108913,0.00108913
15,1549.44,0.96291,0.76071,1.22146,0.89835,0.90833,0.94781,0.54914,1.42995,1.34972,1.72737,0.00107675,0.00107675,0.00107675
16,1651.6,0.95873,0.76291,1.2138,0.93501,0.83901,0.9661,0.54519,1.45734,1.26505,1.77792,0.00106437,0.00106437,0.00106437
17,1758.26,0.96722,0.75232,1.22143,0.80184,0.80463,0.86855,0.49488,1.40103,1.15705,1.76025,0.001052,0.001052,0.001052
18,1853.02,0.91518,0.70723,1.18927,0.84139,0.87902,0.92674,0.56141,1.28824,1.04845,1.7241,0.00103962,0.00103962,0.00103962
19,1955.16,0.91898,0.72647,1.22995,0.86621,0.93759,0.9536,0.55065,1.38432,1.06053,1.76576,0.00102725,0.00102725,0.00102725
20,2046.51,0.90588,0.71486,1.22084,0.92475,0.91667,0.94716,0.56322,1.45179,1.06782,1.75214,0.00101488,0.00101488,0.00101488
21,2146.75,0.87532,0.68006,1.18854,0.92439,0.89662,0.94391,0.58375,1.3667,0.93826,1.65798,0.0010025,0.0010025,0.0010025
22,2233.56,0.90298,0.68523,1.20833,0.95985,0.81565,0.9634,0.56378,1.4149,1.06327,1.79136,0.000990125,0.000990125,0.000990125
23,2339.12,0.85403,0.64497,1.14945,0.91997,0.90685,0.95365,0.57769,1.3978,1.02508,1.76721,0.00097775,0.00097775,0.00097775
24,2440.56,0.86778,0.66181,1.2046,0.9737,0.93939,0.97996,0.5974,1.3604,0.85426,1.65992,0.000965375,0.000965375,0.000965375
25,2537.95,0.87722,0.6349,1.19922,0.96567,0.96826,0.98124,0.59283,1.36485,0.83995,1.59767,0.000953,0.000953,0.000953
26,2638.69,0.86145,0.61373,1.18409,0.96077,0.91635,0.95566,0.59255,1.32908,0.79785,1.5849,0.000940625,0.000940625,0.000940625
27,2729.29,0.83817,0.58438,1.142,0.9349,0.90503,0.93889,0.57769,1.38722,0.79566,1.64832,0.00092825,0.00092825,0.00092825
28,2826.15,0.83234,0.62092,1.16895,0.93741,0.96169,0.96487,0.57498,1.3442,0.7783,1.70035,0.000915875,0.000915875,0.000915875
29,2933.33,0.84868,0.59236,1.17244,0.96437,0.9408,0.97156,0.59936,1.3607,0.75312,1.70743,0.0009035,0.0009035,0.0009035
