epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.67,0.78164,1.80857,1.37143,0.00333,1,0.98434,0.86703,0.6035,3.10833,1.45481,0.00052,0.00052,0.00052
2,581.662,0.74087,0.97726,1.31121,0.30097,1,0.40518,0.36449,0.51353,3.03852,1.25961,0.00104951,0.00104951,0.00104951
3,853.435,0.79391,0.8708,1.34829,0.00333,1,0.75592,0.44769,1.45465,3.52104,1.943,0.00156832,0.00156832,0.00156832
4,1135.71,0.79775,0.79879,1.35393,0.40235,0.875,0.4396,0.12292,1.6053,2.87407,2.24067,0.0019406,0.0019406,0.0019406
5,1417.45,0.73191,0.68583,1.30107,0.23762,0.525,0.20396,0.06121,2.82573,3.237,4.128,0.0019208,0.0019208,0.0019208
6,1704.8,0.70982,0.61073,1.27049,0.33805,0.625,0.36186,0.22412,1.31621,9.14946,1.75345,0.001901,0.001901,0.001901
7,1999.03,0.70694,0.55348,1.25668,0.5809,0.675,0.67626,0.31694,2.17323,1.94854,2.63324,0.0018812,0.0018812,0.0018812
8,2303.01,0.69164,0.5186,1.24819,0.99503,1,0.995,0.89732,0.50476,0.8022,1.1433,0.0018614,0.0018614,0.0018614
9,2580.6,0.68282,0.50452,1.24897,0.99698,1,0.995,0.87521,0.4666,0.46194,1.07244,0.0018416,0.0018416,0.0018416
10,2879.29,0.65298,0.48913,1.23002,0.98916,1,0.995,0.90466,0.5634,0.576,1.16453,0.0018218,0.0018218,0.0018218
11,3156.99,0.63439,0.47338,1.22038,0.9975,1,0.995,0.91021,0.43961,0.41104,1.05326,0.001802,0.001802,0.001802
12,3455.34,0.60398,0.42993,1.19106,0.95145,1,0.995,0.85492,0.75372,0.74609,1.41481,0.0017822,0.0017822,0.0017822
13,3727.35,0.6441,0.45324,1.22819,0.99854,1,0.995,0.85161,0.56873,0.39618,1.26235,0.0017624,0.0017624,0.0017624
14,4034.24,0.60621,0.41367,1.18744,0.99797,1,0.995,0.92193,0.47454,0.41817,1.06612,0.0017426,0.0017426,0.0017426
15,4304.69,0.56324,0.40181,1.15854,0.99862,1,0.995,0.87709,0.54269,0.3997,1.17971,0.0017228,0.0017228,0.0017228
16,4592.36,0.57786,0.41051,1.18056,0.99499,1,0.995,0.85213,0.56917,0.41598,1.22166,0.001703,0.001703,0.001703
17,4857.7,0.5256,0.3776,1.12797,0.99849,1,0.995,0.88953,0.48718,0.37112,1.12599,0.0016832,0.0016832,0.0016832
18,5153.24,0.54931,0.37925,1.1443,0.99708,1,0.995,0.8774,0.51762,0.45412,1.13625,0.0016634,0.0016634,0.0016634
19,5417.42,0.5392,0.38386,1.16393,0.99708,1,0.995,0.8774,4.87269,2.13438,7.26399,0.0016436,0.0016436,0.0016436
20,5704.2,0.54413,0.37691,1.14146,0.99858,1,0.995,0.95086,0.51566,0.42857,1.08691,0.0016238,0.0016238,0.0016238
21,5975.9,0.5558,0.36404,1.15546,1,0.96232,0.99202,0.44546,1.79901,1.24751,2.49712,0.001604,0.001604,0.001604
22,6269.89,0.59105,0.37037,1.17419,0.9986,1,0.995,0.90354,0.39256,0.30501,1.01296,0.0015842,0.0015842,0.0015842
23,6585.67,0.52563,0.35073,1.13609,0.99851,1,0.995,0.94185,0.36762,0.28976,0.97057,0.0015644,0.0015644,0.0015644
24,6876.54,0.51328,0.34365,1.12587,0.99865,1,0.995,0.909,0.3867,0.28837,1.09348,0.0015446,0.0015446,0.0015446
25,7164,0.54269,0.35317,1.14161,0.99852,1,0.995,0.90441,0.49389,0.29844,1.12294,0.0015248,0.0015248,0.0015248
26,7465.07,0.50437,0.34228,1.12089,0.99865,1,0.995,0.96869,0.29854,0.20722,0.91277,0.001505,0.001505,0.001505
27,7743.92,0.51139,0.3416,1.12118,0.99858,1,0.995,0.95326,0.34049,0.24594,0.93692,0.0014852,0.0014852,0.0014852
28,8032.89,0.50122,0.34113,1.11305,0.99856,1,0.995,0.96104,0.37501,0.32417,0.98329,0.0014654,0.0014654,0.0014654
29,8273.49,0.50491,0.33879,1.11376,0.99867,1,0.995,0.9611,0.31959,0.21252,0.93371,0.0014456,0.0014456,0.0014456
30,8567.74,0.49013,0.3318,1.10664,0.99857,1,0.995,0.98568,0.27278,0.21842,0.89798,0.0014258,0.0014258,0.0014258
