                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0985,                  3.806,                 1.1801,                0.00517,                      1,                0.48053,                  0.334,                 1.0765,                 3.8072,                0.98659,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.0802,                 2.3704,                 1.0799,                0.00608,                      1,                0.65856,                0.47563,                 1.0674,                 3.6984,                0.96017,             0.00040433,             0.00040433,             0.00040433
                      3,                 1.0621,                 1.6464,                 1.0792,                0.00414,                      1,                0.66962,                0.43852,                 1.0993,                 3.7622,                0.97485,             0.00060025,             0.00060025,             0.00060025
                      4,                 1.0579,                 1.4778,                 1.0802,                0.00384,                      1,                0.38384,                0.26602,                 1.0451,                 3.5832,                0.99592,             0.00078775,             0.00078775,             0.00078775
                      5,                 1.0631,                 1.4054,                 1.1032,                0.00469,                0.97727,                0.09474,                0.06136,                 1.0241,                 3.8895,                 1.0932,             0.00096684,             0.00096684,             0.00096684
                      6,                 1.0551,                 1.3713,                  1.155,                0.91143,                0.22602,                 0.8867,                0.62275,                 1.0374,                  3.067,                 1.1411,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.0527,                 1.2265,                 1.1322,                0.91832,                   0.25,                  0.995,                0.65024,                 1.1569,                 2.8665,                 1.3039,              0.0011015,              0.0011015,              0.0011015
                      8,                0.98754,                 1.0997,                 1.1063,                0.91063,                0.79969,                  0.995,                 0.7365,                 1.0241,                 1.9908,                 1.2027,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.0076,                  1.096,                 1.1396,                0.95266,                 0.9913,                  0.995,                0.70705,                 1.0291,                  1.642,                 1.1533,               0.001052,               0.001052,               0.001052
                     10,                0.98586,                0.94848,                  1.124,                0.95038,                0.96227,                  0.995,                0.73957,                 1.0214,                 1.1863,                 1.1583,              0.0010273,              0.0010273,              0.0010273
                     11,                 0.9611,                0.85684,                  1.098,                0.96959,                 0.9894,                  0.995,                0.73632,                0.99697,                 1.0207,                 1.1117,              0.0010025,              0.0010025,              0.0010025
                     12,                0.91876,                0.80733,                 1.0892,                0.95104,                      1,                  0.995,                0.75086,                0.96726,                 1.0567,                 1.0933,             0.00097775,             0.00097775,             0.00097775
                     13,                 0.9505,                0.80224,                 1.1104,                0.96832,                      1,                  0.995,                0.72982,                 1.0371,                 1.1774,                 1.1303,               0.000953,               0.000953,               0.000953
                     14,                 1.0101,                0.80167,                 1.1448,                0.98515,                      1,                  0.995,                0.72718,                 1.0385,                0.94401,                  1.128,             0.00092825,             0.00092825,             0.00092825
                     15,                0.95772,                0.73513,                 1.0997,                0.98408,                      1,                  0.995,                0.72893,                 1.0256,                0.78286,                 1.1116,              0.0009035,              0.0009035,              0.0009035
                     16,                0.97854,                0.75835,                  1.125,                0.98884,                      1,                  0.995,                0.70344,                 1.0951,                0.70769,                 1.1438,             0.00087875,             0.00087875,             0.00087875
                     17,                0.92625,                0.70779,                 1.1118,                0.98649,                      1,                  0.995,                0.70665,                  1.031,                 0.7108,                 1.1342,               0.000854,               0.000854,               0.000854
                     18,                0.96964,                0.70252,                  1.116,                0.98832,                      1,                  0.995,                0.71642,                 1.0485,                0.64741,                 1.1788,             0.00082925,             0.00082925,             0.00082925
                     19,                0.96441,                 0.6676,                 1.1112,                0.99047,                      1,                  0.995,                0.72951,                 1.0469,                0.67457,                 1.1515,              0.0008045,              0.0008045,              0.0008045
                     20,                0.96694,                0.66228,                 1.1111,                0.98276,                      1,                  0.995,                0.73517,                 1.0784,                0.67559,                 1.1601,             0.00077975,             0.00077975,             0.00077975
                     21,                0.92832,                0.61304,                 1.0968,                0.98473,                      1,                  0.995,                0.73509,                 1.0329,                0.61336,                  1.154,               0.000755,               0.000755,               0.000755
                     22,                 0.8774,                0.57496,                 1.0666,                0.98539,                      1,                  0.995,                0.71819,                   1.06,                0.59603,                  1.157,             0.00073025,             0.00073025,             0.00073025
                     23,                0.89861,                0.57186,                  1.079,                0.97312,                      1,                  0.995,                0.73488,                 1.0402,                0.58294,                 1.1455,              0.0007055,              0.0007055,              0.0007055
                     24,                0.92079,                0.56631,                 1.0823,                0.98504,                      1,                  0.995,                0.70995,                 1.0737,                0.58806,                  1.167,             0.00068075,             0.00068075,             0.00068075
                     25,                0.87115,                0.54964,                 1.0475,                 0.9905,                      1,                  0.995,                0.74905,                 1.0329,                0.54043,                 1.1501,               0.000656,               0.000656,               0.000656
                     26,                0.88112,                 0.5377,                 1.0655,                0.97658,                      1,                  0.995,                0.75984,                0.99882,                0.52881,                 1.1244,             0.00063125,             0.00063125,             0.00063125
                     27,                0.90722,                0.55043,                 1.1148,                0.97612,                      1,                  0.995,                0.75449,                0.98364,                 0.5128,                 1.1032,              0.0006065,              0.0006065,              0.0006065
                     28,                0.85714,                  0.528,                 1.0406,                0.98667,                      1,                  0.995,                0.72837,                 1.0763,                0.50833,                 1.1593,             0.00058175,             0.00058175,             0.00058175
                     29,                 0.9126,                0.52867,                 1.0944,                0.99244,                      1,                  0.995,                0.75763,                 1.0004,                0.48423,                 1.1161,               0.000557,               0.000557,               0.000557
                     30,                0.82254,                0.49664,                 1.0531,                0.98504,                      1,                  0.995,                  0.761,                0.98731,                0.50357,                 1.1138,             0.00053225,             0.00053225,             0.00053225
                     31,                0.85307,                0.49275,                 1.0556,                0.98457,                      1,                  0.995,                0.75109,                 1.0046,                0.48523,                 1.1139,              0.0005075,              0.0005075,              0.0005075
                     32,                0.84653,                0.50013,                 1.0445,                0.99042,                      1,                  0.995,                0.75259,                0.95013,                0.47775,                 1.0907,             0.00048275,             0.00048275,             0.00048275
                     33,                0.85935,                0.49218,                 1.0691,                0.99195,                      1,                  0.995,                 0.7679,                0.94637,                0.50329,                 1.0833,               0.000458,               0.000458,               0.000458
                     34,                0.80508,                0.46467,                 1.0188,                0.99445,                      1,                  0.995,                0.77859,                0.93132,                0.49002,                  1.066,             0.00043325,             0.00043325,             0.00043325
                     35,                0.83171,                0.48181,                 1.0599,                0.99339,                      1,                  0.995,                0.76886,                0.94692,                0.46571,                 1.0709,              0.0004085,              0.0004085,              0.0004085
                     36,                0.85231,                0.46486,                 1.0474,                0.99281,                      1,                  0.995,                0.75968,                0.98403,                0.46621,                 1.1179,             0.00038375,             0.00038375,             0.00038375
                     37,                0.82308,                 0.4528,                 1.0675,                0.99252,                      1,                  0.995,                0.75155,                0.99432,                0.46347,                 1.1391,               0.000359,               0.000359,               0.000359
                     38,                0.85256,                0.45031,                 1.0542,                0.99411,                      1,                  0.995,                0.77016,                 0.9684,                0.43171,                 1.1089,             0.00033425,             0.00033425,             0.00033425
                     39,                0.82262,                0.44993,                 1.0458,                0.99262,                      1,                  0.995,                0.77404,                0.95971,                0.42422,                 1.1001,              0.0003095,              0.0003095,              0.0003095
                     40,                0.82783,                0.43322,                 1.0416,                0.99189,                      1,                  0.995,                0.75838,                0.95986,                0.42394,                 1.1031,             0.00028475,             0.00028475,             0.00028475
                     41,                0.77619,                0.42902,                 1.0109,                0.99363,                      1,                  0.995,                0.76254,                0.95762,                0.45257,                 1.1013,                0.00026,                0.00026,                0.00026
                     42,                0.76462,                0.42424,                 1.0369,                0.99314,                      1,                  0.995,                 0.7527,                0.99546,                0.43916,                 1.1261,             0.00023525,             0.00023525,             0.00023525
                     43,                0.75468,                0.41138,                 1.0179,                0.99467,                      1,                  0.995,                 0.7444,                 1.0021,                 0.4445,                 1.1238,              0.0002105,              0.0002105,              0.0002105
                     44,                0.76579,                0.40892,                 1.0349,                0.99281,                      1,                  0.995,                0.75248,                0.99165,                0.42691,                 1.1104,             0.00018575,             0.00018575,             0.00018575
                     45,                0.75121,                0.41574,                 1.0253,                0.99202,                      1,                  0.995,                0.76695,                0.99911,                0.41842,                 1.1162,               0.000161,               0.000161,               0.000161
                     46,                0.75262,                0.39365,                 1.0337,                0.99175,                      1,                  0.995,                0.76282,                0.98726,                0.42373,                  1.116,             0.00013625,             0.00013625,             0.00013625
                     47,                0.73809,                0.39223,                0.98896,                0.99353,                      1,                  0.995,                0.76502,                0.98351,                0.42268,                 1.1224,              0.0001115,              0.0001115,              0.0001115
