                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1085,                  3.896,                 1.1932,                0.00302,                0.89583,                 0.4256,                0.29371,                0.94485,                 4.1608,                 1.0188,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.0851,                 2.6533,                  1.136,                0.00546,                      1,                0.45557,                0.32891,                 1.0612,                 3.8765,                0.98931,             0.00040842,             0.00040842,             0.00040842
                      3,                 1.0542,                 1.9251,                 1.0992,                0.01794,                0.91667,                0.54436,                0.37408,                 1.0104,                 3.8058,                0.98359,             0.00061262,             0.00061262,             0.00061262
                      4,                0.99735,                 1.5936,                 1.0967,                0.01111,                      1,                0.77653,                0.55662,                0.97237,                 3.8198,                0.98516,             0.00081263,             0.00081263,             0.00081263
                      5,                 1.0104,                 1.4939,                 1.1048,                 0.0042,                0.92308,                0.70171,                 0.5111,                 0.9539,                 3.8937,                 1.0654,              0.0010084,              0.0010084,              0.0010084
                      6,                  1.005,                  1.416,                 1.1345,                0.00389,                      1,                0.81094,                0.59161,                0.99319,                 3.6656,                 1.1282,              0.0011881,              0.0011881,              0.0011881
                      7,                 0.9987,                  1.299,                  1.114,                0.98875,                0.52415,                  0.995,                0.75049,                0.96715,                 3.0236,                 1.1599,              0.0011757,              0.0011757,              0.0011757
                      8,                0.93629,                 1.1596,                 1.0646,                0.98446,                   0.75,                  0.995,                0.72763,                 1.0294,                 2.4657,                 1.2261,              0.0011634,              0.0011634,              0.0011634
                      9,                0.94521,                 1.1797,                 1.0937,                0.95447,                0.99514,                  0.995,                0.72969,                 1.0094,                  1.889,                 1.2032,               0.001151,               0.001151,               0.001151
                     10,                0.92659,                 1.0488,                 1.0731,                0.95436,                      1,                  0.995,                0.72507,                 1.0336,                  1.794,                 1.2187,              0.0011386,              0.0011386,              0.0011386
                     11,                0.95234,                 1.0043,                 1.0829,                0.96877,                      1,                  0.995,                0.72879,                 1.0244,                 1.2951,                 1.2268,              0.0011263,              0.0011263,              0.0011263
                     12,                0.90551,                0.93522,                 1.0468,                0.98618,                      1,                  0.995,                 0.7349,                0.98015,                 1.0925,                 1.1802,              0.0011139,              0.0011139,              0.0011139
                     13,                0.92494,                0.94554,                 1.0558,                0.97826,                      1,                  0.995,                0.73214,                0.99863,                 1.0761,                 1.2029,              0.0011015,              0.0011015,              0.0011015
                     14,                0.94729,                0.90576,                  1.087,                0.98456,                0.99658,                  0.995,                0.74293,                0.96244,                 1.0792,                 1.1706,              0.0010891,              0.0010891,              0.0010891
                     15,                0.91979,                 0.8455,                 1.0452,                0.97144,                0.99679,                  0.995,                0.74538,                0.97437,                 1.0313,                 1.1655,              0.0010768,              0.0010768,              0.0010768
                     16,                0.93336,                0.84942,                 1.0832,                0.99465,                      1,                  0.995,                0.73387,                0.98698,                0.87302,                 1.1851,              0.0010644,              0.0010644,              0.0010644
                     17,                0.91094,                0.84318,                 1.0637,                0.98789,                      1,                  0.995,                0.73946,                0.98195,                0.87152,                 1.1831,               0.001052,               0.001052,               0.001052
                     18,                0.96654,                0.82244,                 1.1025,                0.98158,                      1,                  0.995,                0.74483,                0.97992,                0.82128,                 1.1803,              0.0010396,              0.0010396,              0.0010396
                     19,                 0.9089,                0.78099,                 1.0592,                0.97466,                0.99626,                  0.995,                0.75204,                0.97292,                0.87243,                 1.1848,              0.0010273,              0.0010273,              0.0010273
                     20,                0.91312,                0.76214,                 1.0577,                0.98964,                      1,                  0.995,                0.74758,                0.94313,                0.78583,                 1.1248,              0.0010149,              0.0010149,              0.0010149
                     21,                0.87298,                0.72288,                 1.0488,                0.97101,                      1,                  0.995,                0.73164,                 1.0162,                0.95431,                 1.1845,              0.0010025,              0.0010025,              0.0010025
                     22,                0.86922,                0.69985,                 1.0337,                0.98329,                0.98874,                  0.995,                0.70058,                 1.0489,                0.79519,                 1.2126,             0.00099013,             0.00099013,             0.00099013
                     23,                0.90149,                 0.6815,                 1.0384,                0.97414,                      1,                  0.995,                0.73274,                0.99612,                0.77245,                 1.1791,             0.00097775,             0.00097775,             0.00097775
                     24,                0.89528,                0.66603,                 1.0537,                0.99005,                      1,                  0.995,                0.73804,                0.96303,                0.75116,                 1.1409,             0.00096537,             0.00096537,             0.00096537
                     25,                0.87134,                0.62986,                 1.0191,                0.98898,                      1,                  0.995,                0.75606,                0.99433,                0.74396,                 1.1455,               0.000953,               0.000953,               0.000953
                     26,                0.88264,                0.62065,                 1.0413,                0.98971,                      1,                  0.995,                0.76293,                0.94287,                 0.6393,                 1.1187,             0.00094062,             0.00094062,             0.00094062
                     27,                0.90333,                0.63362,                 1.0893,                0.98159,                      1,                  0.995,                0.76436,                 0.9362,                0.64345,                 1.1234,             0.00092825,             0.00092825,             0.00092825
                     28,                 0.8603,                0.60906,                 1.0271,                0.99064,                      1,                  0.995,                0.74984,                0.97054,                0.60602,                 1.1482,             0.00091588,             0.00091588,             0.00091588
                     29,                0.90088,                0.60609,                 1.0635,                0.99485,                      1,                  0.995,                0.73655,                0.98314,                0.60479,                 1.1691,              0.0009035,              0.0009035,              0.0009035
                     30,                0.82527,                 0.5726,                 1.0284,                0.99287,                      1,                  0.995,                 0.7476,                0.97012,                0.58119,                 1.1687,             0.00089112,             0.00089112,             0.00089112
