epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.7012,0.3897,2.69974,1.02015,0.0025,1,0.60469,0.60451,0.22343,3.48431,0.7453,0.00016,0.00016,0.00016
2,197.472,0.31076,1.93416,0.95291,0.00225,0.9,0.60537,0.60537,0.14206,3.45827,0.68953,0.000336634,0.000336634,0.000336634
3,310.085,0.26997,1.60452,0.90564,0.00225,0.9,0.63661,0.63661,0.27359,3.44061,0.76115,0.000509704,0.000509704,0.000509704
4,416.285,0.3451,1.59781,0.92711,0.0025,1,0.69294,0.34043,0.79478,4.28708,1.10143,0.00067921,0.00067921,0.00067921
5,510.541,0.34315,1.4688,0.90853,0.0025,1,0.69052,0.64094,0.40419,3.66565,0.90826,0.000845152,0.000845152,0.000845152
6,621.461,0.34135,1.33851,0.92805,0.0025,1,0.67533,0.6077,0.47397,3.25118,0.95492,0.00100753,0.00100753,0.00100753
7,722.151,0.32296,1.28429,0.90201,0.66213,0.9,0.68989,0.68965,0.34274,3.03287,0.77668,0.00116634,0.00116634,0.00116634
8,834.942,0.35658,1.23563,0.92852,0.66707,0.9,0.66443,0.66443,0.33281,2.74876,0.78376,0.00132159,0.00132159,0.00132159
9,931.663,0.39382,1.2002,0.93714,0.07836,0.9,0.72413,0.35376,1.70476,3.46067,3.72061,0.00147328,0.00147328,0.00147328
10,1044.16,0.39971,1.20712,0.92583,0.44257,0.9,0.71023,0.35681,1.16481,3.12042,4.34517,0.0016214,0.0016214,0.0016214
11,1140.27,0.38304,1.08631,0.93132,0.18826,0.9,0.25553,0.08634,0.82831,3.18582,1.5378,0.00176596,0.00176596,0.00176596
12,1247.28,0.35921,1.03359,0.93406,0.04659,0.9,0.71427,0.31404,1.22815,3.62408,1.56758,0.0017822,0.0017822,0.0017822
13,1339.79,0.39047,1.02265,0.93707,0.66114,0.9,0.67149,0.41577,0.98421,3.02072,1.39657,0.0017624,0.0017624,0.0017624
14,1442.42,0.36874,0.93084,0.92994,0.66584,0.9,0.62455,0.55136,0.78669,2.25638,1.3134,0.0017426,0.0017426,0.0017426
15,1541.46,0.33583,1.03077,0.94062,0.66886,0.9,0.63083,0.58147,0.70567,2.10965,1.2036,0.0017228,0.0017228,0.0017228
16,1641.76,0.33336,0.95386,0.93969,0.67265,0.9,0.65055,0.39419,0.67205,1.72135,1.13102,0.001703,0.001703,0.001703
17,1731.35,0.31335,0.94439,0.91265,0.67265,0.9,0.66375,0.65851,0.43991,1.39066,0.96538,0.0016832,0.0016832,0.0016832
18,1828.55,0.31971,0.89089,0.90614,0.67198,0.9,0.62411,0.57718,0.50072,1.48867,1.18386,0.0016634,0.0016634,0.0016634
19,1928.83,0.35112,0.90292,0.95661,0.6677,0.9,0.651,0.651,0.39581,1.54326,1.11948,0.0016436,0.0016436,0.0016436
20,2013.83,0.28334,0.87024,0.89637,0.6659,0.9,0.68768,0.66832,0.2844,1.55427,0.83899,0.0016238,0.0016238,0.0016238
21,2125.24,0.29116,0.81421,0.89675,0.6674,0.9,0.74917,0.74905,0.32868,1.38673,0.79106,0.001604,0.001604,0.001604
22,2210.66,0.30147,0.79969,0.89194,0.65218,0.9,0.64863,0.5119,0.61734,1.81091,0.9677,0.0015842,0.0015842,0.0015842
23,2318.13,0.30855,0.89188,0.9123,0.3259,0.85423,0.45914,0.24121,1.48813,2.50171,2.60768,0.0015644,0.0015644,0.0015644
24,2415.76,0.32932,0.82458,0.92517,0.67368,0.9,0.71011,0.71011,0.27227,1.03368,0.72855,0.0015446,0.0015446,0.0015446
25,2503.92,0.29528,0.74596,0.91226,0.67411,0.9,0.61983,0.61983,0.21764,1.13738,0.71217,0.0015248,0.0015248,0.0015248
26,2634.97,0.28088,0.79708,0.89548,0.67172,0.9,0.62126,0.62126,0.25769,1.05594,0.7575,0.001505,0.001505,0.001505
27,2744.05,0.26075,0.81738,0.91547,0.67276,0.9,0.7299,0.7299,0.25171,1.13399,0.74521,0.0014852,0.0014852,0.0014852
28,2893.25,0.27259,0.7808,0.89436,0.67341,0.9,0.68176,0.68176,0.27006,0.9512,0.74258,0.0014654,0.0014654,0.0014654
29,3038.84,0.29017,0.79575,0.91774,0.67368,0.9,0.67181,0.67181,0.28993,0.89728,0.7632,0.0014456,0.0014456,0.0014456
30,3124.24,0.24919,0.79951,0.88574,0.67359,0.9,0.71965,0.71064,0.33924,1.2224,0.80862,0.0014258,0.0014258,0.0014258
31,3212.69,0.279,0.80029,0.90296,0.6733,0.9,0.6344,0.62536,0.39759,1.0677,0.94462,0.001406,0.001406,0.001406
32,3362.61,0.26234,0.75077,0.85699,0.67339,0.9,0.62353,0.55932,0.2998,0.87267,0.8077,0.0013862,0.0013862,0.0013862
33,3453.75,0.27133,0.76022,0.89738,0.67362,0.9,0.6448,0.6448,0.2313,0.83105,0.76485,0.0013664,0.0013664,0.0013664
34,3537.96,0.25066,0.78841,0.86866,0.67367,0.9,0.71802,0.71802,0.24215,0.94745,0.76693,0.0013466,0.0013466,0.0013466
35,3624.8,0.24457,0.7464,0.87857,0.67336,0.9,0.61683,0.61683,0.24816,0.89742,0.73395,0.0013268,0.0013268,0.0013268
36,3713.87,0.23219,0.73435,0.86507,0.67376,0.9,0.62705,0.62705,0.34928,1.02465,0.8379,0.001307,0.001307,0.001307
37,3803.16,0.23418,0.65505,0.87596,0.6739,0.9,0.62865,0.62865,0.17583,0.79657,0.71111,0.0012872,0.0012872,0.0012872
38,3889.43,0.23554,0.68189,0.88679,0.67391,0.9,0.62909,0.62795,0.20318,0.86508,0.7361,0.0012674,0.0012674,0.0012674
39,3971.15,0.22645,0.79257,0.8715,0.67367,0.9,0.65207,0.65207,0.18517,0.87277,0.72124,0.0012476,0.0012476,0.0012476
40,4055.79,0.22978,0.71954,0.89382,0.67349,0.9,0.72359,0.72359,0.22879,0.84217,0.70462,0.0012278,0.0012278,0.0012278
41,4141.46,0.21534,0.71006,0.88546,0.6737,0.9,0.70818,0.70818,0.18647,0.84568,0.7022,0.001208,0.001208,0.001208
42,4248.71,0.20799,0.65678,0.85829,0.67385,0.9,0.63868,0.63868,0.1664,0.74955,0.68427,0.0011882,0.0011882,0.0011882
43,4333.2,0.22592,0.72802,0.8856,0.67385,0.9,0.64255,0.63836,0.13362,0.82519,0.69772,0.0011684,0.0011684,0.0011684
44,4421.59,0.20412,0.69938,0.86545,0.67351,0.9,0.75242,0.71949,0.17225,0.84785,0.70295,0.0011486,0.0011486,0.0011486
45,4508.45,0.19944,0.69405,0.87096,0.67358,0.9,0.70259,0.69889,0.2058,0.79716,0.70795,0.0011288,0.0011288,0.0011288
46,4594.58,0.19168,0.69997,0.87137,0.67347,0.9,0.70336,0.70336,0.18345,0.78422,0.70391,0.001109,0.001109,0.001109
47,4680.07,0.18035,0.6763,0.86718,0.6687,0.9,0.63472,0.52037,0.37429,0.97066,0.90997,0.0010892,0.0010892,0.0010892
48,4764.9,0.20355,0.66425,0.86976,0.60929,0.88389,0.58818,0.3574,1.92951,2.34021,2.99206,0.0010694,0.0010694,0.0010694
49,4847.51,0.20464,0.68579,0.86904,0.53495,0.9,0.64361,0.40131,1.47937,1.29342,1.92966,0.0010496,0.0010496,0.0010496
50,4947.77,0.20265,0.64307,0.85393,0.67355,0.9,0.66523,0.64235,0.38057,0.89219,0.91068,0.0010298,0.0010298,0.0010298
51,5048.88,0.18365,0.66821,0.87009,0.67383,0.9,0.62039,0.62039,0.15134,0.73603,0.67431,0.00101,0.00101,0.00101
52,5135.03,0.20463,0.73704,0.87107,0.67371,0.9,0.69511,0.69461,0.09832,0.70737,0.65563,0.0009902,0.0009902,0.0009902
53,5219.27,0.18696,0.67902,0.87881,0.67368,0.9,0.66575,0.66343,0.12327,0.68545,0.66253,0.0009704,0.0009704,0.0009704
54,5301.79,0.17825,0.6495,0.87854,0.67377,0.9,0.75255,0.74031,0.15199,0.77067,0.67566,0.0009506,0.0009506,0.0009506
55,5388.12,0.18467,0.64739,0.87549,0.67378,0.9,0.78974,0.7678,0.15418,0.77205,0.67255,0.0009308,0.0009308,0.0009308
56,5482.97,0.19598,0.7116,0.86831,0.67376,0.9,0.72913,0.7048,0.1466,0.79913,0.67886,0.000911,0.000911,0.000911
57,5572.29,0.17952,0.61567,0.86827,0.67372,0.9,0.76135,0.73482,0.12004,0.74447,0.67501,0.0008912,0.0008912,0.0008912
58,5716.01,0.17567,0.62598,0.8699,0.67386,0.9,0.67806,0.65642,0.14296,0.65841,0.66054,0.0008714,0.0008714,0.0008714
59,5808.3,0.18907,0.65707,0.86093,0.67382,0.9,0.75889,0.74739,0.14726,0.69742,0.66848,0.0008516,0.0008516,0.0008516
60,5895.07,0.17073,0.68577,0.86536,0.67369,0.9,0.66048,0.65487,0.09547,0.66069,0.65317,0.0008318,0.0008318,0.0008318
61,5978.8,0.16766,0.66828,0.88034,0.67368,0.9,0.63158,0.62401,0.11602,0.71793,0.65183,0.000812,0.000812,0.000812
62,6094.06,0.19633,0.68069,0.88576,0.67363,0.9,0.65759,0.64646,0.1159,0.72138,0.65454,0.0007922,0.0007922,0.0007922
63,6206.23,0.1691,0.67919,0.8687,0.67367,0.9,0.76871,0.76136,0.14211,0.72281,0.66883,0.0007724,0.0007724,0.0007724
64,6304.02,0.15371,0.59884,0.85658,0.67382,0.9,0.76748,0.7582,0.11874,0.692,0.6499,0.0007526,0.0007526,0.0007526
65,6430.67,0.15956,0.6856,0.87629,0.67385,0.9,0.66447,0.45795,0.60028,1.39058,1.13502,0.0007328,0.0007328,0.0007328
66,6570.39,0.15464,0.69906,0.84426,0.01087,0.1,0.01065,0.00106,3.75146,3.17531,5.89115,0.000713,0.000713,0.000713
67,6732.15,0.16677,0.64308,0.85096,0.01003,0.1,0.03307,0.01153,4.18575,3.44745,7.44543,0.0006932,0.0006932,0.0006932
68,6832.64,0.1557,0.66098,0.88053,0.67361,0.9,0.64063,0.63656,0.13064,0.70168,0.65578,0.0006734,0.0006734,0.0006734
69,7026.73,0.17187,0.67043,0.86404,0.67364,0.9,0.64377,0.63852,0.1134,0.68379,0.65085,0.0006536,0.0006536,0.0006536
70,7116.72,0.1501,0.62832,0.85645,0.67374,0.9,0.81569,0.8098,0.14332,0.72692,0.66195,0.0006338,0.0006338,0.0006338
71,7206.31,0.15399,0.65277,0.86414,0.6738,0.9,0.78882,0.77705,0.10821,0.65552,0.65586,0.000614,0.000614,0.000614
72,7296.75,0.14919,0.63156,0.86626,0.67379,0.9,0.63221,0.6231,0.12356,0.67528,0.66836,0.0005942,0.0005942,0.0005942
73,7387.84,0.15805,0.64975,0.85666,0.67376,0.9,0.63107,0.62356,0.11453,0.65376,0.65831,0.0005744,0.0005744,0.0005744
74,7479.49,0.14491,0.61529,0.85855,0.67377,0.9,0.69024,0.68056,0.10594,0.66737,0.66056,0.0005546,0.0005546,0.0005546
75,7574.69,0.13399,0.67005,0.85167,0.67374,0.9,0.64236,0.63762,0.09599,0.66547,0.65591,0.0005348,0.0005348,0.0005348
76,7669.36,0.13045,0.62791,0.86455,0.67374,0.9,0.65224,0.63541,0.12386,0.73923,0.65829,0.000515,0.000515,0.000515
77,7757.18,0.14814,0.68698,0.86612,0.67378,0.9,0.66498,0.65391,0.11227,0.69935,0.65273,0.0004952,0.0004952,0.0004952
78,7847.58,0.16143,0.71734,0.8855,0.6738,0.9,0.6744,0.67078,0.1042,0.66439,0.64562,0.0004754,0.0004754,0.0004754
79,7937.46,0.11452,0.57165,0.83643,0.6738,0.9,0.65867,0.65465,0.11504,0.69885,0.64897,0.0004556,0.0004556,0.0004556
80,8024.87,0.11655,0.61126,0.85657,0.6738,0.9,0.65518,0.64589,0.0823,0.68629,0.64864,0.0004358,0.0004358,0.0004358
81,8108.69,0.12853,0.61362,0.85411,0.67385,0.9,0.76055,0.7501,0.08834,0.66399,0.64852,0.000416,0.000416,0.000416
